Year,State,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5
2014-15,Punjab,4631,1943,1726,807,1103,10903,4665,12498,2418,6915,16991,3352,18375,4145,20991,674,110,893,183,1278
2014-15,Rajasthan,20828,29839,11280,48,676,34566,109452,61777,317,4481,19940,73359,59752,424,7046,205,924,989,5,126
2014-15,Sikkim,1425,847,359,0,0,755,1015,806,5,23,77,198,662,4,53,7,6,38,0,4
2014-15,Tamil Nadu,39284,14664,6692,28,6928,44018,27024,43417,142,41036,22932,22985,38494,108,71788,1890,2789,6008,12,25735
2014-15,Tripura,1205,1223,800,0,12,480,4317,3452,2,576,106,170,4361,10,1199,7,7,58,0,10
2014-15,Uttarakhand,4689,855,181,1463,279,13081,3572,1504,3892,1666,19426,4375,4189,6742,18573,320,63,100,69,489
2014-15,Uttar Pradesh,60783,8466,1702,31531,3103,179812,33121,7843,70535,17050,146479,22193,19134,72626,57878,4254,481,590,1813,1613
2014-15,West Bengal,68670,1986,822,286,1046,106030,6634,6591,15697,64027,21533,1921,5812,9377,74490,1045,171,279,119,1841
2015-16,Andaman & Nicobar Island,531,309,305,0,27,166,322,551,0,155,66,161,720,0,273,7,20,87,0,29
2015-16,Andhra Pradesh,12403,5219,41,0,8,57549,32738,798,3,312,25514,13965,1559,0,1574,370,284,120,0,99
2015-16,Arunanchal Pradesh,790,1175,69,6,37,732,2204,540,9,334,95,528,475,5,535,5,15,13,0,3
2015-16,Assam,35871,6154,425,33619,823,16771,9241,2466,31427,8903,1272,851,2059,1636,6793,122,101,100,278,236
2015-16,Bihar,54674,63632,1530,446,48,37513,72943,2577,819,279,9435,38745,2752,573,741,639,1723,223,19,74
2015-16,Chandigarh,9,10,76,0,0,79,131,1071,0,24,55,186,2777,0,137,5,11,280,0,26
2015-16,Chhattisgarh,36261,9214,2381,501,119,30999,8392,7674,16469,608,32741,5114,11167,31502,2239,174,82,156,149,45
2015-16,Dadara & Nagar Havelli,74,138,18,0,0,85,235,163,0,6,18,135,123,0,11,0,6,8,0,1
2015-16,Daman & Diu,58,28,57,28,12,52,24,118,35,7,25,14,67,31,43,1,0,4,1,1
2015-16,Delhi,4612,1390,1281,2,71,11365,5015,16323,83,2760,6830,3219,33992,243,12433,363,105,2129,13,990
2015-16,Goa,473,63,35,0,3,1305,300,245,37,30,354,110,188,7,76,4,1,9,0,3
