year,grade,total,girls,boys,x,State
2013-14,8,211178,99730,111448,jammu & kashmir,JAMMU & KASHMIR
2016-17,1,854261,404799,449462,jharkhand,JHARKHAND
2016-17,2,817062,395964,421098,jharkhand,JHARKHAND
2016-17,3,773521,374583,398938,jharkhand,JHARKHAND
2016-17,4,764765,374363,390402,jharkhand,JHARKHAND
2016-17,5,730867,356710,374157,jharkhand,JHARKHAND
2016-17,6,653640,324575,329065,jharkhand,JHARKHAND
2016-17,7,608632,304003,304629,jharkhand,JHARKHAND
2016-17,8,586393,294550,291843,jharkhand,JHARKHAND
2015-16,1,977183,474538,502645,jharkhand,JHARKHAND
2015-16,2,885600,430605,454995,jharkhand,JHARKHAND
2015-16,3,892007,438143,453864,jharkhand,JHARKHAND
2015-16,4,848889,417088,431801,jharkhand,JHARKHAND
2015-16,5,849848,418836,431012,jharkhand,JHARKHAND
2015-16,6,713279,356170,357109,jharkhand,JHARKHAND
2015-16,7,688597,345606,342991,jharkhand,JHARKHAND
2015-16,8,666665,336789,329876,jharkhand,JHARKHAND
2014-15,1,947269,457355,489914,jharkhand,JHARKHAND
2014-15,2,907981,445022,462959,jharkhand,JHARKHAND
2014-15,3,882913,433414,449499,jharkhand,JHARKHAND
2014-15,4,883386,434270,449116,jharkhand,JHARKHAND
2014-15,5,841818,414922,426896,jharkhand,JHARKHAND
2014-15,6,720552,358994,361558,jharkhand,JHARKHAND
2014-15,7,686237,343370,342867,jharkhand,JHARKHAND
2014-15,8,670633,337266,333367,jharkhand,JHARKHAND
2013-14,1,1029504,501661,527843,jharkhand,JHARKHAND
2013-14,2,904261,441443,462818,jharkhand,JHARKHAND
2013-14,3,924275,453269,471006,jharkhand,JHARKHAND
2013-14,4,860285,422407,437878,jharkhand,JHARKHAND
2013-14,5,864434,426301,438133,jharkhand,JHARKHAND
2013-14,6,701201,349205,351996,jharkhand,JHARKHAND
2013-14,7,679054,339481,339573,jharkhand,JHARKHAND
2013-14,8,662009,332789,329220,jharkhand,JHARKHAND
2016-17,1,1110988,529655,581333,karnataka,KARNATAKA
2016-17,2,1101337,528841,572496,karnataka,KARNATAKA
2016-17,3,1099542,531535,568007,karnataka,KARNATAKA
2016-17,4,1073751,518901,554850,karnataka,KARNATAKA
2016-17,5,1058728,514158,544570,karnataka,KARNATAKA
2016-17,6,996519,473415,523104,karnataka,KARNATAKA
2016-17,7,987519,473371,514148,karnataka,KARNATAKA
2016-17,8,935455,447592,487863,karnataka,KARNATAKA
2015-16,1,1136667,548958,587709,karnataka,KARNATAKA
2015-16,2,1103563,536006,567557,karnataka,KARNATAKA
2015-16,3,1078987,524279,554708,karnataka,KARNATAKA
2015-16,4,1062715,519542,543173,karnataka,KARNATAKA
2015-16,5,1024314,489951,534363,karnataka,KARNATAKA
2015-16,6,994356,480188,514168,karnataka,KARNATAKA
2015-16,7,978036,472662,505374,karnataka,KARNATAKA
2015-16,8,961735,462741,498994,karnataka,KARNATAKA
2014-15,1,1137328,551301,586027,karnataka,KARNATAKA
2014-15,2,1095878,532198,563680,karnataka,KARNATAKA
2014-15,3,1077944,526827,551117,karnataka,KARNATAKA
2014-15,4,1036938,496904,540034,karnataka,KARNATAKA
2014-15,5,1025936,495767,530169,karnataka,KARNATAKA
2014-15,6,989715,479532,510183,karnataka,KARNATAKA
2014-15,7,991606,480243,511363,karnataka,KARNATAKA
2014-15,8,990403,474682,515721,karnataka,KARNATAKA
2013-14,1,1134033,550534,583499,karnataka,KARNATAKA
2013-14,2,1100937,536756,564181,karnataka,KARNATAKA
2013-14,3,1055151,505440,549711,karnataka,KARNATAKA
2013-14,4,1041599,503430,538169,karnataka,KARNATAKA
2013-14,5,1020903,493464,527439,karnataka,KARNATAKA
2013-14,6,999135,483698,515437,karnataka,KARNATAKA
2013-14,7,1009437,486702,522735,karnataka,KARNATAKA
2013-14,8,962361,459883,502478,karnataka,KARNATAKA
2016-17,1,490072,239436,250636,kerala,KERALA
2016-17,2,494988,241702,253286,kerala,KERALA
2016-17,3,491513,240613,250900,kerala,KERALA
2016-17,4,488356,238358,249998,kerala,KERALA
2016-17,5,495910,242419,253491,kerala,KERALA
2016-17,6,495822,242762,253060,kerala,KERALA
2016-17,7,501816,244702,257114,kerala,KERALA
2016-17,8,517666,252890,264776,kerala,KERALA
2015-16,1,499125,243601,255524,kerala,KERALA
2015-16,2,490461,239911,250550,kerala,KERALA
2015-16,3,488085,238658,249427,kerala,KERALA
2015-16,4,496239,241799,254440,kerala,KERALA
2015-16,5,494719,242399,252320,kerala,KERALA
2015-16,6,501952,244619,257333,kerala,KERALA
2015-16,7,516234,252326,263908,kerala,KERALA
2015-16,8,525601,256314,269287,kerala,KERALA
2014-15,1,494343,241853,252490,kerala,KERALA
2014-15,2,486490,237599,248891,kerala,KERALA
2014-15,3,493133,240241,252892,kerala,KERALA
2014-15,4,493498,241497,252001,kerala,KERALA
2014-15,5,499816,243660,256156,kerala,KERALA
2014-15,6,515381,251667,263714,kerala,KERALA
2014-15,7,525230,255284,269946,kerala,KERALA
2014-15,8,541423,263687,277736,kerala,KERALA
2013-14,1,490287,239088,251199,kerala,KERALA
2013-14,3,490056,238833,251223,kerala,KERALA
2013-14,4,491116,240037,251079,kerala,KERALA
2013-14,5,497538,242219,255319,kerala,KERALA
2013-14,7,513400,250554,262846,kerala,KERALA
2013-14,6,524124,254449,269675,kerala,KERALA
2013-14,8,555588,270826,284762,kerala,KERALA
2016-17,1,872,431,441,lakshadweep,LAKSHADWEEP
2016-17,2,983,434,549,lakshadweep,LAKSHADWEEP
2016-17,3,818,403,415,lakshadweep,LAKSHADWEEP
2016-17,4,536,266,270,lakshadweep,LAKSHADWEEP
2016-17,5,973,486,487,lakshadweep,LAKSHADWEEP
2016-17,6,1054,539,515,lakshadweep,LAKSHADWEEP
2016-17,7,1018,507,511,lakshadweep,LAKSHADWEEP
2016-17,8,1024,524,500,lakshadweep,LAKSHADWEEP
2015-16,1,927,410,517,lakshadweep,LAKSHADWEEP
2015-16,2,836,404,432,lakshadweep,LAKSHADWEEP
2015-16,3,561,280,281,lakshadweep,LAKSHADWEEP
2015-16,4,988,500,488,lakshadweep,LAKSHADWEEP
2015-16,5,1096,547,549,lakshadweep,LAKSHADWEEP
2015-16,6,1059,506,553,lakshadweep,LAKSHADWEEP
2015-16,7,1021,510,511,lakshadweep,LAKSHADWEEP
2015-16,8,1088,567,521,lakshadweep,LAKSHADWEEP
2014-15,1,766,378,388,lakshadweep,LAKSHADWEEP
2014-15,2,539,268,271,lakshadweep,LAKSHADWEEP
2014-15,3,999,502,497,lakshadweep,LAKSHADWEEP
2014-15,4,1116,549,567,lakshadweep,LAKSHADWEEP
2014-15,5,1089,521,568,lakshadweep,LAKSHADWEEP
2014-15,6,1059,537,522,lakshadweep,LAKSHADWEEP
2014-15,7,1118,570,548,lakshadweep,LAKSHADWEEP
2014-15,8,1202,625,577,lakshadweep,LAKSHADWEEP
2013-14,1,438,217,221,lakshadweep,LAKSHADWEEP
2013-14,2,993,500,493,lakshadweep,LAKSHADWEEP
2013-14,3,1106,538,568,lakshadweep,LAKSHADWEEP
2013-14,4,1074,499,575,lakshadweep,LAKSHADWEEP
2013-14,5,1080,512,568,lakshadweep,LAKSHADWEEP
2013-14,6,1168,607,561,lakshadweep,LAKSHADWEEP
2013-14,7,1190,615,575,lakshadweep,LAKSHADWEEP
2013-14,8,1240,656,584,lakshadweep,LAKSHADWEEP
2016-17,1,1606465,763653,842812,madhya pradesh,MADHYA PRADESH
2016-17,2,1538933,730464,808469,madhya pradesh,MADHYA PRADESH
2016-17,3,1583921,753638,830283,madhya pradesh,MADHYA PRADESH
2016-17,4,1578554,751419,827135,madhya pradesh,MADHYA PRADESH
2016-17,5,1601683,755720,845963,madhya pradesh,MADHYA PRADESH
2016-17,6,1431967,669843,762124,madhya pradesh,MADHYA PRADESH
2016-17,7,1530256,727919,802337,madhya pradesh,MADHYA PRADESH
2016-17,8,1514929,730300,784629,madhya pradesh,MADHYA PRADESH
2015-16,1,1609696,759735,849961,madhya pradesh,MADHYA PRADESH
2015-16,2,1631813,776327,855486,madhya pradesh,MADHYA PRADESH
2015-16,3,1631710,775925,855785,madhya pradesh,MADHYA PRADESH
2015-16,4,1657569,784007,873562,madhya pradesh,MADHYA PRADESH
2015-16,5,1580068,740107,839961,madhya pradesh,MADHYA PRADESH
2015-16,6,1595797,757697,838100,madhya pradesh,MADHYA PRADESH
2015-16,7,1583941,764392,819549,madhya pradesh,MADHYA PRADESH
2015-16,8,1511375,741139,770236,madhya pradesh,MADHYA PRADESH
2014-15,1,1755605,831201,924404,madhya pradesh,MADHYA PRADESH
2014-15,2,1723436,819471,903965,madhya pradesh,MADHYA PRADESH
2014-15,3,1751595,828915,922680,madhya pradesh,MADHYA PRADESH
2014-15,4,1662346,781841,880505,madhya pradesh,MADHYA PRADESH
2014-15,5,1786703,853872,932831,madhya pradesh,MADHYA PRADESH
2014-15,6,1663420,803453,859967,madhya pradesh,MADHYA PRADESH
2014-15,7,1597879,785825,812054,madhya pradesh,MADHYA PRADESH
2014-15,8,1561485,764401,797084,madhya pradesh,MADHYA PRADESH
2013-14,1,1943370,920792,1022578,madhya pradesh,MADHYA PRADESH
2013-14,2,1923371,910172,1013199,madhya pradesh,MADHYA PRADESH
2013-14,3,1823421,860660,962761,madhya pradesh,MADHYA PRADESH
